[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_65.csv (42 rows × 9 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_66.csv (19 rows × 9 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_67.csv (11 rows × 13 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_68.csv (12 rows × 25 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_69.csv (23 rows × 17 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_70.csv (50 rows × 13 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_71.csv (7 rows × 13 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_72.csv (9 rows × 17 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_73.csv (14 rows × 9 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_74.csv (7 rows × 13 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_75.csv (23 rows × 17 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_76.csv (10 rows × 13 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_77.csv (18 rows × 13 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_78.csv (11 rows × 13 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_79.csv (15 rows × 4 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_80.csv (99 rows × 24 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_81.csv (4 rows × 1 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_82.csv (29 rows × 3 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_83.csv (10 rows × 3 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_84.csv (4 rows × 1 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_85.csv (4 rows × 1 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_86.csv (4 rows × 1 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_87.csv (4 rows × 1 cols)
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Tables saved to data/structured/: 87
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Ingestion complete: MSFT_FY23Q4_10K.docx — 679 chunks in 20.54s
[2026-02-23 23:25:30] [INFO    ] [leadership_agent.ingestion.pdf_parser] Cumulative chunk total: 679
[2026-02-23 23:25:30] [INFO    ] [leadership_agent.ingestion.pdf_parser] Starting ingestion for: MSFT_FY24Q4_10K.docx
[2026-02-23 23:25:30] [INFO    ] [leadership_agent.ingestion.pdf_parser] Inferred metadata: {'company': 'Microsoft', 'year': '2024', 'document_type': '10K'}
[2026-02-23 23:25:30] [INFO    ] [docling.datamodel.document] detected formats: [<InputFormat.DOCX: 'docx'>]
[2026-02-23 23:25:30] [INFO    ] [docling.document_converter] Going to convert document batch...
[2026-02-23 23:25:30] [INFO    ] [docling.document_converter] Initializing pipeline for SimplePipeline with options hash 35a8e94b10f7fb06f9f42c09d469bf86
[2026-02-23 23:25:30] [INFO    ] [docling.pipeline.base_pipeline] Processing document MSFT_FY24Q4_10K.docx
[2026-02-23 23:25:54] [INFO    ] [docling.document_converter] Finished converting document MSFT_FY24Q4_10K.docx in 24.92 sec.
[2026-02-23 23:25:55] [INFO    ] [leadership_agent.ingestion.pdf_parser] Text chunks created: 867
[2026-02-23 23:25:55] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:55] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2024_table_1.csv (8 rows × 2 cols)
